PERIOD,YEAR,STATS_VALUE
September,1953,8.9
October,1953,10.1
November,1953,14.9
December,1953,15.1
January,1954,16.1
February,1954,18.1
March,1954,15.4
April,1954,10.9
May,1954,8.9
June,1954,7.5
July,1954,4.6
August,1954,6.2
September,1954,8.2
October,1954,11.3
November,1954,15.3
December,1954,15.5
January,1955,17.4
February,1955,17.7
March,1955,14.4
April,1955,13.3
May,1955,10
June,1955,6.1
July,1955,4.7
August,1955,7.7
September,1955,10
October,1955,12.3
November,1955,14.3
December,1955,16.3
January,1956,19.6
February,1956,16.7
March,1956,13.9
April,1956,14.4
May,1956,8.3
June,1956,7
July,1956,5.7
August,1956,6.3
September,1956,9
October,1956,11.4
November,1956,13.4
December,1956,15.6
January,1957,17.3
February,1957,17.8
March,1957,15.8
April,1957,12.5
May,1957,9.4
June,1957,6
July,1957,5.4
August,1957,7.4
September,1957,8.7
October,1957,11.2
November,1957,13.7
December,1957,14.9
January,1958,15.3
February,1958,17.2
March,1958,15.7
April,1958,11.3
May,1958,9.6
June,1958,5.9
July,1958,4.3
August,1958,7.4
September,1958,7.9
October,1958,12.3
November,1958,14.8
December,1958,16.4
January,1959,17
February,1959,16.6
March,1959,14.7
May,1959,6.4
June,1959,5.4
July,1959,5.2
August,1959,6.4
September,1959,9.7
October,1959,9.7
November,1959,14.3
December,1959,15.3
January,1960,17
February,1960,15.8
March,1960,13.4
April,1960,11.7
May,1960,9.2
June,1960,6.8
July,1960,6.3
August,1960,6.6
September,1960,9.1
October,1960,12.1
November,1960,13.3
December,1960,13.9
January,1961,15.5
February,1961,17
March,1961,13.2
April,1961,11.8
May,1961,7.7
June,1961,5.5
July,1961,5.7
August,1961,6.4
September,1961,8.1
October,1961,14.4
November,1961,14.6
December,1961,17
January,1962,18.4
February,1962,16
March,1962,15.1
April,1962,11.3
May,1962,11.2
June,1962,6.8
July,1962,6.8
August,1962,7.2
September,1962,9.3
October,1962,13.3
November,1962,14
December,1962,16.1
January,1963,17.9
February,1963,17.7
March,1963,14
April,1963,10.4
May,1963,8.7
June,1963,5.1
July,1963,5.3
August,1963,5.5
September,1963,8.7
October,1963,12.2
November,1963,12.5
December,1963,14.6
January,1964,16.4
February,1964,16
March,1964,15.4
April,1964,11.5
May,1964,8.3
June,1964,5.8
July,1964,6.6
August,1964,6.9
September,1964,9.4
October,1964,11.9
November,1964,13.4
December,1964,16.8
January,1965,18.5
February,1965,15.8
March,1965,14.4
April,1965,12
May,1965,8.2
June,1965,6.6
July,1965,4.7
August,1965,6.6
September,1965,9.5
October,1965,10.3
November,1965,13.3
December,1965,16.1
January,1966,16.8
February,1966,18.2
March,1966,15.7
April,1966,12.3
May,1966,7.5
June,1966,6.4
July,1966,5
August,1966,6.5
September,1966,9.1
October,1966,11.6
November,1966,13.1
December,1966,15.3
January,1967,16.8
February,1967,16.8
March,1967,15.4
April,1967,12.8
May,1967,9.2
June,1967,5.8
July,1967,5.5
August,1967,8.5
September,1967,8.1
October,1967,12.5
November,1967,12.6
December,1967,15.6
January,1968,16.8
February,1968,17
March,1968,17.2
April,1968,11.4
May,1968,10.6
June,1968,6.2
July,1968,4.8
August,1968,7.6
September,1968,8.6
October,1968,11.6
November,1968,14.5
December,1968,14.2
January,1969,16.8
February,1969,16.1
March,1969,15.7
April,1969,12
May,1969,9.1
June,1969,5
July,1969,5.2
August,1969,7.3
September,1969,11.6
October,1969,10.3
November,1969,14.6
December,1969,17.4
January,1970,18
February,1970,16.4
March,1970,15.3
April,1970,13.1
May,1970,7.9
June,1970,6.9
July,1970,6.8
August,1970,8.1
September,1970,10.3
October,1970,12.2
November,1970,14.3
December,1970,16.3
January,1971,16.8
February,1971,17.4
March,1971,15.7
April,1971,12.2
May,1971,10.4
June,1971,7.6
July,1971,5.6
August,1971,7.8
September,1971,10
October,1971,12
November,1971,13.8
December,1971,16.5
January,1972,15.8
February,1972,15.1
March,1972,16.4
April,1972,13.2
May,1972,8.4
June,1972,5.2
July,1972,6.1
August,1972,5.9
September,1972,11.3
October,1972,12.1
November,1972,15.1
December,1972,13.9
January,1973,16.7
February,1973,17.6
March,1973,15.4
April,1973,12.2
May,1973,9.6
June,1973,6.7
July,1973,5.6
August,1973,6.8
September,1973,10.2
October,1973,12.5
November,1973,14.9
December,1973,15.7
January,1974,15.4
February,1974,17.5
March,1974,13.6
April,1974,12
May,1974,8.7
June,1974,6.3
July,1974,6.8
August,1974,6
September,1974,9.8
October,1974,10.8
November,1974,14.2
December,1974,16.9
January,1975,18.1
February,1975,16.9
March,1975,16.3
April,1975,13.3
May,1975,9.6
June,1975,5
July,1975,5.3
August,1975,7.4
September,1975,9.6
October,1975,11.4
November,1975,12.7
December,1975,14.7
January,1976,16
February,1976,13.6
March,1976,15.5
April,1976,11.4
May,1976,8.3
June,1976,5.2
July,1976,5.2
August,1976,6.8
September,1976,7.7
October,1976,9.3
November,1976,11.2
December,1976,15.4
January,1977,15.5
February,1977,16.5
March,1977,14.7
April,1977,11.5
May,1977,7.4
June,1977,5.7
July,1977,5.6
August,1977,6.8
September,1977,6.7
October,1977,11.2
November,1977,12.9
December,1977,15.2
January,1978,17.6
February,1978,17.8
March,1978,16.6
April,1978,15
May,1978,9.5
June,1978,4.9
July,1978,6.3
August,1978,7.7
September,1978,9
October,1978,11
November,1978,13.8
December,1978,15.3
January,1979,17.8
February,1979,17.3
March,1979,14.6
April,1979,11.5
May,1979,8.1
June,1979,6.3
July,1979,6.3
August,1979,6.1
September,1979,9.7
October,1979,11
November,1979,13.9
December,1979,16.3
January,1980,16.8
February,1980,16.1
March,1980,13.9
April,1980,11.7
May,1980,8.9
June,1980,5.2
July,1980,5.2
August,1980,7.1
September,1980,10.5
October,1980,13.4
November,1980,12.7
December,1980,15.8
January,1981,18
February,1981,17.7
March,1981,15.6
April,1981,13.7
May,1981,8.1
June,1981,7.2
July,1981,5.7
August,1981,5.4
September,1981,8.8
October,1981,11.6
November,1981,13.7
December,1981,17.6
January,1982,17.8
February,1982,17.6
March,1982,15.9
April,1982,10
May,1982,9.1
June,1982,5.6
July,1982,5.1
August,1982,7.8
September,1982,8.5
October,1982,10.2
November,1982,15.8
December,1982,14.5
January,1983,16.2
February,1983,15.1
March,1983,15.2
April,1983,11.7
May,1983,8.9
June,1983,6.3
July,1983,5.2
August,1983,7.4
September,1983,9.5
October,1983,11.8
November,1983,13.8
December,1983,14.6
January,1984,15.1
February,1984,16.1
March,1984,15.7
April,1984,12.2
May,1984,7.3
June,1984,7.1
July,1984,6.5
August,1984,8.7
September,1984,9.6
October,1984,11.9
November,1984,15.5
December,1984,16.8
January,1985,19.2
February,1985,17.3
March,1985,14.4
April,1985,13.1
May,1985,8.8
June,1985,6.8
July,1985,6.5
August,1985,7.3
September,1985,9.7
October,1985,10.6
November,1985,13.5
December,1985,15.9
January,1986,18.8
February,1986,17.1
March,1986,14.7
April,1986,13.6
May,1986,8.6
June,1986,6.4
July,1986,5
August,1986,5.7
September,1986,8.4
October,1986,11.8
November,1986,13.4
December,1986,16
January,1987,18.4
February,1987,16.2
March,1987,13.8
April,1987,12.3
May,1987,10.4
June,1987,6.7
July,1987,6.4
August,1987,8.8
September,1987,10
October,1987,12
November,1987,14.3
December,1987,15.9
January,1988,17.5
February,1988,17
March,1988,14.3
April,1988,10.7
May,1988,7.4
June,1988,6.7
July,1988,7
August,1988,7.4
September,1988,11.5
October,1988,14.5
November,1988,15.1
December,1988,18.1
January,1989,18.5
February,1989,16.8
March,1989,16.4
April,1989,12.1
May,1989,8.9
June,1989,7
July,1989,5.2
August,1989,8
September,1989,10
October,1989,12.8
November,1989,14.7
December,1989,16
January,1990,18.2
February,1990,18.3
March,1990,15.8
April,1990,12.9
May,1990,10.2
June,1990,6.6
July,1990,6.2
August,1990,6.9
September,1990,9.1
October,1990,11.9
November,1990,13.9
December,1990,17.5
January,1991,17.7
February,1991,16.4
March,1991,15.4
April,1991,11.7
May,1991,8.9
June,1991,5.2
July,1991,4.7
August,1991,8.7
September,1991,9.9
October,1991,11.8
November,1991,12.1
December,1991,14.6
January,1992,17.5
February,1992,16
March,1992,13.8
April,1992,9.9
May,1992,6.8
June,1992,4.6
July,1992,6.3
August,1992,6.1
September,1992,7.4
October,1992,10.4
November,1992,14.3
December,1992,14.4
January,1993,16.1
February,1993,15.3
March,1993,13.8
April,1993,11.1
May,1993,8.8
June,1993,8
July,1993,6.1
August,1993,5.9
September,1993,8.6
October,1993,13.2
November,1993,11.8
December,1993,14
January,1994,17.7
February,1994,17.2
March,1994,13.8
April,1994,12.3
May,1994,8.9
June,1994,5.3
July,1994,5.7
August,1994,7.5
September,1994,8
October,1994,10.4
November,1994,14
December,1994,15.9
January,1995,16.5
February,1995,16.9
March,1995,15.8
April,1995,12.9
May,1995,9.3
June,1995,6.1
July,1995,4.5
August,1995,7.1
September,1995,8.9
October,1995,10.5
November,1995,12.5
December,1995,17.3
January,1996,17.4
February,1996,16.9
March,1996,13.5
April,1996,12.3
May,1996,8.3
June,1996,5.7
July,1996,5.2
August,1996,6.2
September,1996,10.3
October,1996,11.8
November,1996,12.6
December,1996,15.2
January,1997,15
February,1997,17
March,1997,13.3
April,1997,11.1
May,1997,9.5
June,1997,6
July,1997,5.1
August,1997,7
September,1997,8
October,1997,11.6
November,1997,14.1
December,1997,15.7
January,1998,18.4
February,1998,19.7
March,1998,16.8
April,1998,12.5
May,1998,10.1
June,1998,6.6
July,1998,7.3
August,1998,6.6
September,1998,10
October,1998,12.4
November,1998,12.5
December,1998,16.1
January,1999,17.9
February,1999,17.3
March,1999,16.9
April,1999,11.8
May,1999,10.5
June,1999,6.3
July,1999,6
August,1999,6.8
September,1999,9.2
October,1999,12.7
November,1999,13
December,1999,14.1
January,2000,15.5
February,2000,16.4
March,2000,14.4
April,2000,11.9
May,2000,9.6
June,2000,7.5
July,2000,7.5
August,2000,6.8
September,2000,9.9
October,2000,11.6
November,2000,10.4
December,2000,17.1
January,2001,15.2
February,2001,17
March,2001,15.1
April,2001,12.3
May,2001,9.4
June,2001,6
July,2001,4.5
August,2001,7.7
September,2001,10
October,2001,12.4
November,2001,13.3
December,2001,16.3
January,2002,16.6
February,2002,14.9
March,2002,15.3
April,2002,11.9
May,2002,9.4
June,2002,6.5
July,2002,5.4
August,2002,7.9
September,2002,10.5
October,2002,9.7
November,2002,12.5
December,2002,15.2
January,2003,16.5
February,2003,16.3
March,2003,15.6
April,2003,10.2
May,2003,9.7
June,2003,8
July,2003,4.8
August,2003,6.7
September,2003,9.2
October,2003,10.5
November,2003,12.7
December,2003,16.4
January,2004,18.6
February,2004,16.2
March,2004,14.1
April,2004,10.6
May,2004,10
June,2004,8.2
July,2004,4.7
August,2004,6.2
September,2004,8.8
October,2004,10.8
November,2004,13.8
December,2004,13
January,2005,17.1
February,2005,18.5
March,2005,15
April,2005,11.2
May,2005,9.2
June,2005,5.6
July,2005,7.1
August,2005,8.1
September,2005,9.3
October,2005,11
November,2005,13
December,2005,17.2
January,2006,17.1
February,2006,16.6
March,2006,12.7
April,2006,13.5
May,2006,8.7
June,2006,4.8
July,2006,5.9
August,2006,7
September,2006,10.6
October,2006,11.4
November,2006,12.8
December,2006,13.3
January,2007,15.5
February,2007,16.2
March,2007,15.9
April,2007,11.3
May,2007,11.4
June,2007,5.5
July,2007,5.9
August,2007,6.9
September,2007,9.2
October,2007,10.9
November,2007,13.1
December,2007,15.9
January,2008,17.8
February,2008,16.9
March,2008,15.1
April,2008,12.1
May,2008,7.1
June,2008,6.8
July,2008,6.5
August,2008,6
September,2008,9.6
October,2008,10.8
November,2008,14.2
December,2008,15.8
January,2009,18.5
February,2009,15.9
March,2009,14.2
April,2009,12.3
May,2009,6.9
June,2009,5.6
July,2009,5.2
August,2009,8.8
September,2009,9.2
October,2009,9.5
November,2009,12.7
December,2009,15.1
January,2010,16.6
February,2010,16.9
March,2010,15.4
April,2010,13.2
May,2010,9.4
June,2010,6.2
July,2010,5.4
August,2010,8
September,2010,10.2
October,2010,10.9
November,2010,14.7
December,2010,17.8
January,2011,17.4
February,2011,17
March,2011,15.2
April,2011,11.3
May,2011,11
June,2011,7.6
July,2011,5.7
August,2011,6.4
September,2011,8.5
October,2011,11.3
November,2011,12.9
December,2011,15.4
January,2012,15.9
February,2012,16
March,2012,13.5
April,2012,11.8
May,2012,8.6
June,2012,5.3
July,2012,6
August,2012,8.8
September,2012,9.7
October,2012,10.9
November,2012,11.6
December,2012,17
January,2013,17.4
February,2013,16.6
March,2013,16.2
April,2013,12.6
May,2013,9.3
June,2013,6.5
July,2013,7.5
August,2013,9
September,2013,9
October,2013,11.9
November,2013,14
December,2013,16.5
January,2014,16.1
February,2014,17
March,2014,13.7
April,2014,12.5
May,2014,9.6
June,2014,7.6
July,2014,6.2
August,2014,6.7
September,2014,8.6
October,2014,11.1
November,2014,13.5
December,2014,15.7
January,2015,18.1
February,2015,16.5
March,2015,15.5
April,2015,13.1
May,2015,9.6
June,2015,6.7
July,2015,6
August,2015,6.8
September,2015,8.4
October,2015,11.6
November,2015,13.5
December,2015,15.5
January,2016,16.6
February,2016,19.2
March,2016,15.8
April,2016,12.3
May,2016,11.9
June,2016,8.1
July,2016,6.5
August,2016,6.4
September,2016,10.3
October,2016,12
November,2016,13.8
December,2016,15.6
January,2017,17
February,2017,16.7
March,2017,14.7
April,2017,12.4
May,2017,8
June,2017,6.4
July,2017,5.5
August,2017,8.1
September,2017,10.5
October,2017,12
November,2017,14.3
December,2017,18.1
January,2018,19.9
February,2018,17.4
March,2018,15.8
April,2018,11.7
May,2018,9.6
June,2018,7.3
July,2018,7.3
August,2018,7.9
September,2018,9.2
October,2018,11.2
November,2018,13.4
December,2018,16.1
January,2019,19.2
February,2019,17.7
March,2019,16.8
April,2019,11.6
May,2019,10.3
June,2019,6
July,2019,7.6
August,2019,7.1
September,2019,9.4
October,2019,10.7
November,2019,15.5
December,2019,16
January,2020,17.4
February,2020,18.1
March,2020,14
April,2020,12.7
May,2020,9.4
June,2020,7.4
July,2020,6.4
August,2020,8.4
September,2020,9.9
October,2020,12.9
November,2020,14
December,2020,15.6
January,2021,17.7
February,2021,17
March,2021,15.8
April,2021,13.3
May,2021,9.5
June,2021,8.2
July,2021,6.7
August,2021,8.1
September,2021,9.3
October,2021,12.3
November,2021,14.2
December,2021,16.2
January,2022,17.3
February,2022,16.2
March,2022,15.3
April,2022,12.4
May,2022,10.7
June,2022,7.7
July,2022,6.4
August,2022,8.5
September,2022,9.7
October,2022,10.6
November,2022,15.2
December,2022,16.2
January,2023,17.6
February,2023,18.3
March,2023,14.8
April,2023,13.1
May,2023,11.1
June,2023,8.1
July,2023,6.6
August,2023,6.4
September,2023,10.8
October,2023,11.6
November,2023,13
December,2023,16.7
January,2024,18.4
February,2024,16.9
March,2024,13.7
April,2024,12.1
May,2024,6.9
June,2024,7.2
July,2024,6.6
August,2024,7.8
September,2024,9.9
October,2024,12.1
November,2024,14.2
December,2024,17.1
January,2025,15.3
February,2025,16.8
March,2025,15.3
April,2025,12.7
